<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20170103,100000,154.4600000,156.1900000,154.1200000,155.9700000,2670230
GAZP,60,20170103,110000,155.9900000,156.9900000,155.5500000,155.6400000,2654680
GAZP,60,20170103,120000,155.6500000,157.0500000,155.5100000,156.8500000,2682530
GAZP,60,20170103,130000,156.9100000,156.9700000,156.2500000,156.6300000,2713850
GAZP,60,20170103,140000,156.6200000,157.3000000,156.6000000,156.8200000,3978730
GAZP,60,20170103,150000,156.8300000,157.3700000,156.8200000,157.2600000,2645660
GAZP,60,20170103,160000,157.2000000,157.3100000,157.0500000,157.2500000,721560
GAZP,60,20170103,170000,157.2500000,157.8500000,156.8200000,157.3200000,3661990
GAZP,60,20170103,180000,157.3500000,158.2000000,157.2000000,157.7000000,3010500
GAZP,60,20170104,100000,156.9900000,157.3500000,155.8400000,156.4000000,2771340
GAZP,60,20170104,110000,156.4000000,156.9900000,156.1000000,156.5400000,1679660
GAZP,60,20170104,120000,156.5500000,156.7000000,155.7700000,156.6800000,1637270
GAZP,60,20170104,130000,156.6500000,156.8600000,156.0200000,156.5500000,1315800
GAZP,60,20170104,140000,156.5500000,156.7500000,156.0900000,156.3300000,746840
GAZP,60,20170104,150000,156.3300000,156.8800000,156.2500000,156.4300000,873070
GAZP,60,20170104,160000,156.4500000,156.6000000,156.1200000,156.2100000,746640
GAZP,60,20170104,170000,156.2300000,156.5200000,155.7600000,156.4000000,2249600
GAZP,60,20170104,180000,156.4000000,157.4400000,156.0300000,157.4400000,3468680
GAZP,60,20170105,100000,157.2400000,158.7000000,157.2400000,157.7400000,2760570
GAZP,60,20170105,110000,157.6900000,157.8000000,156.1000000,156.6000000,3446850
GAZP,60,20170105,120000,156.6100000,156.6100000,154.6200000,155.2200000,3256200
GAZP,60,20170105,130000,155.1500000,155.8000000,154.8400000,154.9300000,1468940
GAZP,60,20170105,140000,154.8900000,155.1300000,153.8100000,154.2000000,4083350
GAZP,60,20170105,150000,154.2400000,154.4800000,153.5500000,153.8600000,2618100
GAZP,60,20170105,160000,153.8100000,154.5600000,153.5400000,154.2300000,2070500
GAZP,60,20170105,170000,154.2300000,154.2600000,153.3500000,153.7000000,2599720
GAZP,60,20170105,180000,153.6000000,154.0000000,153.1700000,154.0000000,3136260
GAZP,60,20170106,100000,154.1200000,154.3900000,153.1800000,154.2300000,1336050
GAZP,60,20170106,110000,154.1400000,154.4700000,152.5000000,152.8100000,2096390
GAZP,60,20170106,120000,152.8800000,153.9500000,152.5800000,152.9200000,1234960
GAZP,60,20170106,130000,152.8800000,152.9600000,152.1600000,152.9400000,2065010
GAZP,60,20170106,140000,152.9100000,153.0000000,152.0500000,152.9600000,1242070
GAZP,60,20170106,150000,152.9300000,153.5300000,152.5000000,153.2100000,783260
GAZP,60,20170106,160000,153.2200000,153.7600000,152.7800000,153.1600000,1281100
GAZP,60,20170106,170000,153.1800000,153.8000000,153.1000000,153.6600000,779870
GAZP,60,20170106,180000,153.6700000,154.1000000,153.1600000,154.1000000,1487350
GAZP,60,20170109,100000,154.2000000,155.3000000,154.2000000,154.7700000,2095940
GAZP,60,20170109,110000,154.7600000,155.5000000,154.5600000,155.3300000,1884290
GAZP,60,20170109,120000,155.3400000,155.4700000,154.0100000,154.3100000,2273060
GAZP,60,20170109,130000,154.3100000,154.4800000,153.9700000,154.3100000,910980
GAZP,60,20170109,140000,154.3100000,154.3900000,153.7300000,153.8400000,1155350
GAZP,60,20170109,150000,153.8100000,153.9200000,153.5100000,153.6900000,841910
GAZP,60,20170109,160000,153.6900000,153.8200000,153.3100000,153.5600000,1248980
GAZP,60,20170109,170000,153.5500000,154.0700000,153.3000000,153.9000000,1297580
GAZP,60,20170109,180000,153.9000000,154.4000000,153.8400000,154.4000000,1206730
GAZP,60,20170110,100000,154.0100000,155.2000000,154.0000000,155.1700000,1871480
GAZP,60,20170110,110000,155.1700000,156.1400000,155.1600000,155.3500000,4799980
GAZP,60,20170110,120000,155.3500000,155.6700000,154.7700000,155.6000000,2912110
GAZP,60,20170110,130000,155.6000000,155.9800000,155.3600000,155.9700000,1676160
GAZP,60,20170110,140000,155.9700000,156.0000000,155.4600000,155.9500000,911350
GAZP,60,20170110,150000,155.8900000,156.4500000,155.4400000,156.3400000,1884540
